16.29,39.64,24.89
14.98,37.80,22.70
16.13,37.80,22.70
14.42,37.80,22.03
13.99,37.80,22.03
12.91,36.56,21.38
13.46,36.56,21.38
12.29,36.56,20.95
12.06,36.56,20.95
12.74,35.87,20.53
12.66,35.87,20.53
12.76,35.87,20.18
12.35,35.87,20.18
12.74,35.83,19.81
13.77,35.83,19.81
14.81,35.83,19.54
16.06,35.83,19.54
17.68,36.88,19.26
16.70,36.88,19.26
16.78,36.88,19.04
17.73,36.88,19.04
23.19,39.06,18.82
21.55,39.06,18.82
24.05,39.06,18.65
26.72,39.06,18.65
28.37,40.62,18.45
22.11,40.62,18.45
23.07,40.62,18.28
18.65,40.62,18.28
17.83,41.57,18.10
19.42,41.57,18.10
18.66,41.57,17.93
19.02,41.57,17.93
19.39,42.99,17.75
19.91,42.99,17.75
17.99,42.99,17.59
24.49,42.99,17.59
18.76,44.87,17.42
22.80,44.87,17.42
25.26,44.87,17.26
27.55,44.87,17.26
26.52,46.62,17.09
22.74,46.62,17.09
21.26,46.62,16.97
23.78,46.62,16.97
32.00,47.98,16.85
24.90,47.98,16.85
26.32,47.98,16.90
32.15,47.98,16.90
27.11,48.97,16.93
28.26,48.97,16.93
23.02,48.97,17.57
23.02,48.97,17.57
33.97,49.43,18.19
33.84,49.43,18.19
25.99,49.43,19.15
35.92,49.43,19.15
42.70,49.43,20.11
28.31,49.43,20.11
27.68,49.43,21.09
44.07,49.43,21.09
41.77,49.33,22.08
52.62,49.33,22.08
38.78,49.33,22.85
29.00,49.33,22.85
28.62,49.10,23.65
26.36,49.10,23.65
38.84,49.10,24.27
35.12,49.10,24.27
30.95,48.86,24.87
30.62,48.86,24.87
33.23,48.86,25.28
17.46,48.86,25.28
22.76,48.84,25.69
25.13,48.84,25.69
27.91,48.84,25.90
31.82,48.84,25.90
25.81,48.57,26.11
29.52,48.57,26.11
31.42,48.57,26.07
29.58,48.57,26.07
19.84,47.11,26.03
21.39,47.11,26.03
22.35,47.11,25.76
22.85,47.11,25.76
21.75,44.57,25.50
20.71,44.57,25.50
21.13,44.57,25.04
18.78,44.57,25.04
20.81,41.57,24.57
22.54,41.57,24.57
19.65,41.57,23.75
16.93,41.57,23.75
18.70,38.94,22.94
17.76,38.94,22.94
17.17,38.94,22.94
17.08,40.38,23.02
14.70,38.46,20.80
20.81,38.46,20.80
16.08,38.46,20.29
15.73,38.46,20.29
12.00,37.10,19.73
14.34,37.10,19.73
11.04,37.10,19.55
13.35,37.10,19.55
11.48,36.33,19.34
11.02,36.33,19.34
11.48,36.33,19.26
10.65,36.33,19.26
9.75,36.18,19.15
10.96,36.18,19.15
12.38,36.18,19.14
18.61,36.18,19.14
15.45,37.26,19.09
15.91,37.26,19.09
15.53,37.26,19.15
16.68,37.26,19.15
21.05,39.85,19.10
18.64,39.85,19.10
16.85,39.85,19.10
22.09,39.85,19.10
34.09,41.87,19.08
22.41,41.87,19.08
15.38,41.87,18.98
13.81,41.87,18.98
12.19,42.65,18.91
16.68,42.65,18.91
17.96,42.65,18.72
21.29,42.65,18.72
26.87,43.64,18.54
26.25,43.64,18.54
23.00,43.64,18.21
40.32,43.64,18.21
35.76,45.12,17.87
21.64,45.12,17.87
18.30,45.12,17.50
29.92,45.12,17.50
33.11,46.55,17.14
39.39,46.55,17.14
